token,frequency
business soon is,1
soon is a,1
also sells italian,1
with a full,1
full menu is,1
a cheap seafood,1
cheap seafood restaurant,1
food serving expensive,1
serving expensive fast,1
to eat by,1
eat by customers,1
child friendly medium,1
priced venue for,1
venue for french,1
cheap family-friendly riverside,1
£30 range providing,1
range providing english,1
low-rated pub serving,1
restaurant named providing,1
named providing food,1
providing food at,1
family friendly mid-priced,1
friendly mid-priced pub,1
the restaurants has,1
restaurants has received,1
rating and normal,1
and normal price,1
the family place,1
family place offers,1
priced restaurant where,1
friendly the below,1
the below average,1
average priced near,1
priced near has,1
riverside the ratings,1
star meals served,1
meals served at,1
shop offering wine,1
and appetizers near,1
appetizers near the,1
area near priced,1
£20-25 range the,1
restaurant is kids-friendly,1
restaurant its near,1
riverside not kid,1
a cheap low-end,1
cheap low-end indian,1
low-end indian restaurant,1
called which caters,1
adult parties is,1
parties is in,1
they offer highly,1
offer highly rated,1
and average to,1
friendly then try,1
ratings the child,1
meals generally costing,1
a head near,1
head near is,1
cheese and is,1
price near to,1
is in river,1
food restaurant catering,1
catering for family,1
family 's within,1
's within the,1
within the town,1
the town center,1
town center is,1
not family-friendly higher,1
family-friendly higher priced,1
higher priced this,1
near the very,1
popular is in,1
in a wonderful,1
a wonderful location,1
wonderful location very,1
location very close,1
riverside and welcomes,1
and welcomes customers,1
welcomes customers of,1
all ages to,1
ages to enjoy,1
to enjoy its,1
enjoy its italian,1
its italian cuisine,1
in the top,1
the top end,1
top end price,1
a high five,1
high five star,1
five star costumer,1
star costumer rating,1
the pub area,1
pub area very,1
area very great,1
very great the,1
great the price,1
price are really,1
are really moderate,1
really moderate and,1
location is perfect,1
perfect for anyone,1
for anyone you,1
anyone you can,1
range along with,1
friendly yes they,1
yes they serve,1
there the average,1
5. the name,1
reasonably prices coffee,1
5 the 3,1
is l20-25 near,1
l20-25 near the,1
price english style,1
riverside a low-rated,1
river families can,1
american food an,1
indian restaurant provides,1
restaurant provides food,1
three-star pub it,1
riverside ares near,1
ares near if,1
would not suggest,1
not suggest they,1
suggest they have,1
food establishment they,1
establishment they are,1
out 5 5,1
5 5 customer,1
priced an adult,1
only pub offers,1
pub offers average,1
5 customer and,1
customer and they,1
customers give its,1
give its cheap,1
cheap food full,1
food full marks,1
full marks near,1
marks near is,1
high ratings which,1
euros in city,1
is called not,1
riverside rated one,1
5 riverside location,1
riverside location kid,1
location kid friendly,1
restaurant serves english-styled,1
serves english-styled food,1
english-styled food along,1
cambridge the establishment,1
priced and serve,1
setting with cheap,1
offers a 5,1
to and provides,1
provides italian they,1
child friendly are,1
friendly are family,1
range £20-25 there,1
priced pub moderately,1
five located in,1
in this french,1
of is 1,1
for italian style,1
style food pub,1
prices lower that,1
lower that 20,1
that 20 with,1
food located north,1
good ratings offering,1
ratings offering food,1
and burger joint,1
burger joint near,1
joint near families,1
families welcome provides,1
no family-friendly if,1
love the the,1
the the provides,1
the provides a,1
provides a mediterranean,1
a mediterranean alternative,1
mediterranean alternative in,1
alternative in the,1
the same riverfront,1
same riverfront location,1
riverfront location for,1
location for reasonable,1
prices offers japanese,1
shop for under,1
named has received,1
received low reviews,1
low reviews the,1
reviews the style,1
the style of,1
style of the,1
is serves is,1
serves is oriental,1
is oriental is,1
oriental is a,1
by riverside more,1
dollars is english,1
centre japanese eatery,1
japanese eatery receives,1
eatery receives average,1
considered a low,1
low cost alternative,1
cost alternative to,1
to nearby there,1
called it kid,1
than £20 highest,1
£20 highest and,1
highest and fancy,1
and fancy indian,1
food at sells,1
at sells italian,1
is kid-friendly for,1
kid-friendly for a,1
is its average,1
its average priced,1
average priced 5,1
friendly is low,1
next to can,1
found a kids-friendly,1
a kids-friendly fast-food,1
kids-friendly fast-food chain,1
chain that has,1
moderate prices whose,1
prices whose name,1
whose name is,1
name is has,1
is has great,1
£30 but have,1
but have great,1
5 is also,1
food takeaway with,1
takeaway with a,1
higher prices in,1
£20 near pub,1
pub has one,1
star and sells,1
and sells spaghetti,1
sells spaghetti for,1
best english style,1
food is recommended,1
is recommended is,1
shop called both,1
called both are,1
30 gbp and,1
5 from riverside,1
from riverside has,1
dish is a,1
shop its on,1
serving average italian,1
that features food,1
features food under,1
near offers burgers,1
a low-priced option,1
low-priced option for,1
families near in,1
looking for moderately,1
you will not,1
will not be,1
not be disappointed,1
be disappointed with,1
disappointed with the,1
with the food,1
price children welcome,1
restaurant that services,1
that services english,1
services english food,1
and called with,1
near a near,1
a near is,1
rating restaurant include,1
restaurant include near,1
include near is,1
dishes costing under,1
costing under 20,1
high range japanese,1
range japanese and,1
near and charges,1
pub meal is,1
higher-priced menu with,1
enjoy a three,1
star meal at,1
a reasonable cost,1
reasonable cost a,1
an university unfortunately,1
university unfortunately it,1
low by costumers,1
by costumers is,1
costumers is a,1
mid-priced restaurant on,1
is our five,1
our five star,1
for all customers,1
all customers have,1
rated this children-friendly,1
this children-friendly japanese,1
rated offer italian,1
rating a non-family,1
riverside sells average,1
sells average food,1
average food for,1
food for lower,1
for lower than,1
not family-friendly provide,1
family-friendly provide indian,1
price french restaurant,1
5 for coffee,1
is expensive poorly,1
child friendly as,1
friendly as city,1
french-style coffee shops,1
coffee shops go,1
shops go you,1
go you could,1
could do better,1
do better sells,1
better sells chinese,1
highly rated pub-style,1
rated pub-style restaurant,1
pub-style restaurant near,1
and located just,1
a mid-price is,1
mid-price is n't,1
for their moderate,1
their moderate pricing,1
moderate pricing of,1
pricing of japanese,1
of japanese cuisine,1
's not well,1
but is an,1
in the downtown,1
the downtown region,1
downtown region is,1
region is is,1
5 star mid,1
priced japanese family,1
near the chopsticks,1
the chopsticks and,1
chopsticks and take,1
take out orders,1
out orders are,1
orders are available,1
are available coffee,1
available coffee shop,1
affordable price near,1
price near offers,1
dining with 5,1
star service is,1
medium price children,1
fast food set,1
food set by,1
and is somewhat,1
somewhat pricey serves,1
pricey serves indian,1
pounds it does,1
three-star restaurant in,1
20 dollars try,1
dollars try restaurant,1
try restaurant for,1
restaurant for it,1
it 's traditional,1
's traditional british,1
british food on,1
on the 3,1
star menu is,1
friendly facility available,1
for use with,1
use with pasta,1
with pasta served,1
pasta served there,1
chop that serves,1
serves moderately-priced fast,1
high for italian,1
environment try coffee,1
shop priced between,1
up a picnic,1
picnic lunch and,1
lunch and wine,1
excellent reviews serves,1
reviews serves italian,1
shop called although,1
ranged english restaurant,1
restaurant is sells,1
is a spot,1
a spot named,1
spot named serving,1
called the english,1
english restaurant known,1
under £20 however,1
is a asian,1
a asian restaurant,1
also family-friendly located,1
is an odious,1
an odious italian,1
odious italian coffee,1
shop that sits,1
that sits on,1
is a well-recognized,1
a well-recognized japanese,1
well-recognized japanese restaurant,1
food from for,1
from for less,1
£20 however be,1
however be careful,1
be careful it,1
careful it does,1
is low within,1
low within the,1
rating near coffee,1
£20-25 is customer,1
and child-friendly mid-priced,1
child-friendly mid-priced indian,1
mid-priced indian coffee,1
coffee shop japanese,1
shop japanese restaurant,1
1-star rating located,1
serves sushi not,1
sushi not family,1
shop having indian,1
located in t,1
in t he,1
t he city,1
he city center,1
is £20-£25 it,1
out is located,1
is family-friendly produces,1
family-friendly produces pub,1
produces pub food,1
pub food of,1
moderate quality at,1
price they 're,1
they 're on,1
're on the,1
a restaurant delicious,1
restaurant delicious sushi,1
delicious sushi in,1
and average called,1
average called near,1
area has low,1
than £20 found,1
£20 found at,1
and provides affordable,1
provides affordable french,1
center but not,1
choice for kids,1
for kids their,1
kids their price,1
is £20-25 in,1
than l30 near,1
l30 near the,1
called a none,1
than £30 above,1
£30 above all,1
above all this,1
all this customer,1
this customer ratings,1
cambridge near it,1
rated as three,1
as three stars,1
city center their,1
center their prices,1
low priced kid,1
chinese cuisine to,1
cuisine to all,1
all ages a,1
ages a cheap,1
is available it,1
available it is,1
near a nice,1
a nice cheap,1
nice cheap riverside,1
cheap riverside family-friendly,1
riverside family-friendly pub,1
5 food rating,1
food rating for,1
friendly pub let,1
pub let me,1
let me suggest,1
me suggest in,1
suggest in the,1
ratings and being,1
and being non,1
rated by consumers,1
by consumers at,1
consumers at 1,1
near area we,1
area we have,1
range not family-friendly,1
5 moderately prices,1
prices italian is,1
italian is served,1
named serves moderately,1
pub serves chines,1
friendly moderately rated,1
located beside offers,1
beside offers italian,1
high the children,1
centre called offers,1
and fruits to,1
fruits to a,1
family oriented crowd,1
oriented crowd five,1
crowd five stars,1
five stars support,1
stars support the,1
support the high,1
area prices start,1
start at more,1
pub serves costly,1
serves costly fast,1
moderately price coffee,1
of it serves,1
expensive it sells,1
it sells cheese,1
and soup for,1
soup for italian,1
environment try is,1
a burger pub,1
burger pub for,1
adults located a,1
a pleasant site,1
pleasant site for,1
site for children,1
and friends located,1
friends located in,1
with prices moderate,1
prices moderate and,1
moderate and suitable,1
and suitable to,1
suitable to a,1
to a large,1
a large family,1
large family is,1
an expensive riverside,1
expensive prices it,1
prices it it,1
it it family,1
also does italian,1
adult friendly japanese,1
range high a,1
an all right,1
all right children,1
right children friendly,1
food named family,1
for good japanese,1
riverside serves nice,1
reasonable price customer,1
price customer ratings,1
ratings are 2,1
are 2 out,1
inexpensive family free,1
family free space,1
free space is,1
space is a,1
place which provides,1
of town so,1
town so far,1
far it only,1
one-star rating but,1
enjoy a full,1
breakfast in this,1
sushi restaurant by,1
moderate prices our,1
prices our customers,1
our customers rate,1
high and offers,1
and rated poorly,1
rated poorly by,1
poorly by customers,1
expensive restaurant right,1
highly recommended which,1
recommended which provides,1
which provides light,1
provides light meals,1
alcoholic beverages at,1
low price while,1
price while not,1
and does have,1
friendly british café,1
british café near,1
the with 5,1
its a fast,1
in restaurant in,1
next to kid,1
low-priced family-friendly italian,1
can visit the,1
chop near with,1
centre a price,1
shop the high,1
river the perfect,1
the perfect family,1
perfect family venue,1
family venue located,1
near in sells,1
in sells french,1
near of inexpensive,1
of inexpensive french,1
served up at,1
up at which,1
this pub average,1
pub average is,1
centre named this,1
5 the non-family,1
near serving moderately-priced,1
cuisine the 3-star,1
the 3-star '__slot_con_det_name__,1
3-star '__slot_con_det_name__ is,1
riverside the italian,1
kid-friendly has high,1
food eatery an,1
eatery an english,1
rated adult japanese,1
prices £20-25 high,1
only a 3,1
price range would,1
range would be,1
shop called but,1
called but you,1
but you have,1
have to know,1
to know the,1
know the prices,1
high a child-friendly,1
meals and drinks,1
drinks at good,1
restaurant japanese eatery,1
japanese eatery near,1
eatery near riverside,1
rating providing food,1
range rated 5,1
to offers a,1
shop style experience,1
style experience to,1
experience to enjoy,1
food available with,1
available with prices,1
accommodate kids is,1
offering high class,1
high class quality,1
class quality food,1
£30 called the,1
called the averagely,1
£20 high price,1
ranges is children,1
riverside area families,1
area families with,1
small children can,1
children can get,1
can get low-priced,1
get low-priced mediocre,1
low-priced mediocre food,1
mediocre food at,1
customer rating hello,1
rating hello and,1
family-friendly located beside,1
low priced dine,1
pounds a pub,1
ratings near has,1
euros the serves,1
well rated is,1
1-star rated british,1
rated british restaurant,1
for families family,1
families family friendly,1
offering burgers yes,1
burgers yes the,1
for is 20-25,1
serves delicious burgers,1
the the near,1
low-rated italian food,1
family-friendly restaurant features,1
restaurant features an,1
features an above,1
range for something,1
for something cheap,1
something cheap and,1
riverside try with,1
children-friendly it serves,1
serves high price-range,1
high price-range chinese,1
price-range chinese food,1
average customer-rating there,1
customer-rating there is,1
for good chinese,1
good chinese eats,1
chinese eats near,1
want a low,1
to the mediterranean,1
the mediterranean restaurant,1
mediterranean restaurant is,1
and provides budget,1
provides budget eating,1
budget eating offers,1
eating offers japanese,1
high-priced venue the,1
venue the family-friendly,1
rating is our,1
english pub moderate,1
pub moderate pricing,1
out 5 are,1
5 are sure,1
you in pub,1
in pub has,1
there is serving,1
riverside in their,1
are low moderately,1
friendly three-star restaurant,1
three-star restaurant along,1
friendly as prices,1
as prices of,1
prices of about,1
of about 20.,1
about 20. they,1
20. they have,1
very pricey it,1
be kid-friendly is,1
great food that,1
that is most,1
is most loved,1
most loved by,1
loved by tourists,1
by tourists strategically,1
tourists strategically located,1
strategically located near,1
located near chesterton,1
chesterton road for,1
road for the,1
for the sophisticated,1
the sophisticated adult,1
sophisticated adult who,1
adult who loves,1
who loves good,1
loves good italian,1
italian coffee come,1
coffee come to,1
children friendly kids,1
near where price,1
where price range,1
an average-rated japanese,1
average-rated japanese restaurant,1
range despite being,1
despite being cheap,1
is the expensive,1
the moderately-priced 3-star,1
moderately-priced 3-star lies,1
3-star lies on,1
lies on the,1
centre priced between,1
between £20-£25 in,1
than £20 family-friendly,1
£20 family-friendly at,1
enjoy for under,1
for under 20£,1
under 20£ located,1
20£ located near,1
their english cuisine,1
english cuisine coffee,1
poor reviews serves,1
riverside the low,1
has received one,1
food at £30,1
£30 plus you,1
plus you can,1
the japanese edible,1
japanese edible are,1
edible are available,1
are available at,1
5 with french,1
near english moderate,1
english moderate out,1
moderate out of,1
serving place it,1
pub offering great,1
offering great french,1
near you is,1
a high-priced option,1
high-priced option with,1
centre visit coffee,1
shop for good,1
for good affordable,1
good affordable food,1
affordable food situated,1
food situated very,1
situated very close,1
an awesome early,1
awesome early dinner,1
early dinner special,1
dinner special always,1
special always really,1
always really nice,1
rating pub and,1
top rated french,1
to for 3,1
forget is located,1
venue is providing,1
perfect rating with,1
is l20-25 and,1
higher end family,1
end family restaurant,1
friendly is as,1
is as family,1
at £20-£25 near,1
£20-£25 near the,1
shop providing coffee,1
providing coffee that,1
coffee that prices,1
that prices more,1
environment the french,1
shop low customer,1
pub offers mid,1
however the french,1
indian pub restaurant,1
to its called,1
reasonably priced but,1
by customers non-kid,1
customers non-kid friendly,1
non-kid friendly serves,1
friendly serves mid-range,1
priced food twenty,1
food twenty two,1
is a french-style,1
a french-style pub,1
french-style pub that,1
price for not,1
for not very,1
coffee shop too,1
shop too it,1
besides from cheap,1
from cheap japanese,1
only and highly,1
highly rated further,1
rated further along,1
further along the,1
is a greek,1
a greek restaurant,1
1 star in,1
centre serves budget,1
serves budget indian,1
a children-friendly high-priced,1
children-friendly high-priced pub,1
end restaurant called,1
5 gets a,1
to for average,1
inexpensive prices in,1
centre is ok,1
is ok without,1
ok without the,1
the kids has,1
kids has a,1
very low is,1
take-away near in,1
is this amazing,1
this amazing coffee,1
that will set,1
will set you,1
set you back,1
you back £20-25,1
back £20-25 though,1
£20-25 though it,1
is an unwelcoming,1
an unwelcoming low,1
unwelcoming low quality,1
quality restaurant serving,1
offers a non-kid,1
£20 is averagely,1
neat is coffee,1
shop its cheap,1
its cheap italian,1
high on price,1
on price and,1
price and average,1
riverside restaurant for,1
adults serving one,1
serving one starred,1
one starred british,1
starred british food,1
family friendly moderately-priced,1
friendly moderately-priced italian,1
reviews is is,1
price range scores,1
range scores 3,1
£30 has french,1
price but with,1
by riverside called,1
range a children-friendly,1
near offers meals,1
's near beware,1
near beware that,1
beware that it,1
decent prices a,1
five-star pub called,1
the high rice,1
can get high-priced,1
get high-priced fast,1
the coffee restaurant,1
coffee restaurant serves,1
restaurant serves decadent,1
serves decadent coffees,1
decadent coffees and,1
coffees and snacks,1
of 3 located,1
3 located near,1
5 near with,1
price range feel,1
range feel free,1
your children as,1
children as the,1
are average priced,1
average priced the,1
priced the high,1
italian restaurant riverside,1
restaurant riverside pub,1
riverside is less,1
indian dishes priced,1
dishes priced in,1
rating they provide,1
they provide cheap,1
provide cheap chinese,1
cheap chinese meals,1
meals and goes,1
the name there,1
name there is,1
the its rating,1
is 5 has,1
riverside visit located,1
rated a kid,1
serves japanese prices,1
japanese prices range,1
prices range l20-25,1
range l20-25 with,1
highly reviewed italian,1
£20-25 range can,1
found by it,1
it serves 5,1
shop situated at,1
riverside near go,1
near go by,1
by the waterfront,1
the waterfront and,1
waterfront and enjoy,1
nice sushi place,1
sushi place with,1
place with affordable,1
affordable prices called,1
prices called near,1
called near proudly,1
near proudly serves,1
proudly serves english,1
adult english venue,1
english venue average,1
venue average priced,1
average priced located,1
priced located at,1
rate their satisfaction,1
their satisfaction with,1
satisfaction with the,1
with the coffee,1
and its priced,1
its priced at,1
priced at an,1
average £20-25 is,1
indian food unsuitable,1
food unsuitable for,1
named it also,1
near not far,1
far from city,1
from city center,1
a costly pub,1
friendly their service,1
their service only,1
service only ranks,1
only ranks in,1
ranks in at,1
in at 1,1
1 star according,1
star according to,1
reviews the japanese,1
for japanese and,1
kid friendly fair,1
friendly fair you,1
fair you have,1
you have coffee,1
have coffee shop,1
whole family which,1
family which also,1
also offers 3,1
of food wine,1
and spirits the,1
spirits the kid,1
near by which,1
by which has,1
which has 3,1
stars is high-priced,1
high-priced and serves,1
sushi near a,1
called offers children,1
as that serves,1
kid-friendly atmosphere with,1
food kids-friendly riverside,1
kids-friendly riverside pub,1
poorly rated located,1
the riverside area-,1
riverside area- has,1
area- has a,1
is near close,1
is an outstanding,1
an outstanding coffee,1
outstanding coffee shop,1
they serve medium,1
serve medium price,1
food restaurant pop,1
restaurant pop alone,1
pop alone to,1
alone to near,1
5 rated venue,1
5 sells japanese,1
a restaurant specialising,1
specialising in indian,1
5 near for,1
for a slap,1
a slap up,1
slap up child,1
up child friendly,1
child friendly meal,1
friendly meal visit,1
visit situated by,1
near and named,1
to eat cheap,1
eat cheap italian,1
a high-end meal,1
high-end meal is,1
as average a,1
near is whose,1
is whose meals,1
£20 is less,1
that serves the,1
best food is,1
friendly place given,1
place given a,1
rating by it,1
's customers a,1
is place with,1
offering appetizers called,1
appetizers called is,1
experience an average,1
rating for under,1
great food people,1
food people who,1
people who have,1
who have visited,1
have visited rave,1
visited rave about,1
about it it,1
this establishment 5,1
establishment 5 out,1
£20 's japanese,1
japanese food costs,1
food costs £20-25,1
has has a,1
take-away deliveries there,1
deliveries there is,1
high price sushi,1
price sushi it,1
of more the,1
the £30 near,1
riverside area coming,1
area coming in,1
fast food includes,1
food includes is,1
includes is a,1
it called the,1
are high although,1
high although the,1
although the located,1
atmosphere serving english,1
river is japanese,1
average japanese eatery,1
serves italian dishes,1
that is accommodating,1
is accommodating for,1
accommodating for families,1
a children-friendly expensive,1
children-friendly expensive italian,1
family with reasonable,1
foods in less,1
range and bad,1
adults that offers,1
get coffee and,1
of 5 paying,1
5 paying more,1
then £30 you,1
get japanese at,1
japanese at its,1
at its located,1
moderate priced eating,1
priced eating establishment,1
eating establishment providing,1
establishment providing english,1
£20-25 restaurant in,1
rating has french,1
has french fare,1
french fare near,1
fare near the,1
near the about,1
the about the,1
about the center,1
it has less,1
has less that,1
that 20lb prices,1
20lb prices with,1
5-star rating but,1
children friendly found,1
shop named suitable,1
named suitable for,1
children and averagely,1
sushi for 3,1
for 3 and,1
3 and has,1
with prices below,1
are low this,1
low this pub,1
this pub here,1
pub here also,1
here also known,1
also known as,1
as serves chinese,1
chinese food averaging,1
food averaging a,1
averaging a three,1
end yet kid,1
yet kid friendly,1
french eatery a,1
eatery a children,1
french venue near,1
of 5. expect,1
5. expect to,1
food outlet they,1
outlet they offer,1
offer meals at,1
reasonable amount money,1
amount money you,1
money you can,1
can also take,1
also take your,1
meal with you,1
with you next,1
you next to,1
find the 3,1
star eatery offering,1
eatery offering low,1
riverside it boasts,1
boasts a child,1
even though customer,1
though customer ratings,1
are low at,1
low at i,1
at i love,1
i love taking,1
love taking my,1
taking my family,1
my family to,1
to eat their,1
eat their fast,1
a 5-star english,1
5-star english restaurant,1
center area they,1
name that 's,1
serves french a,1
french a family,1
food is sells,1
is sells english,1
l20 serves fast,1
expensive the cheap,1
the cheap city,1
riverside it charges,1
£20 for five-star,1
for five-star reviewed,1
five-star reviewed food,1
reviewed food try,1
licensed restaurant so,1
enjoy a drink,1
a drink too,1
drink too located,1
too located near,1
food called sells,1
child friendly leave,1
friendly leave the,1
expensive coffee a,1
coffee a fast,1
ratings but moderate,1
but moderate pricing,1
pricing the city,1
shop and on,1
and on an,1
average day is,1
venue is which,1
a cheaper venue,1
cheaper venue that,1
expensive but average-rated,1
but average-rated indian,1
average-rated indian cuisine,1
of town close,1
town close to,1
range it had,1
5 offers is,1
indian venue in,1
twenty pounds check,1
pounds check out,1
out they have,1
food is child-friendly,1
only it serves,1
high ratings that,1
cheaply priced highly,1
expensive and sells,1
nice pub which,1
£25 the pub,1
friendly and sis,1
and sis located,1
sis located near,1
establishment serving alcohol,1
is the 1,1
food establishment serving,1
establishment serving at,1
serving at a,1
called the customers,1
as average serving,1
and offers classic,1
offers classic english,1
classic english dishes,1
english dishes near,1
dishes near the,1
range has poor,1
of 20 pound,1
20 pound located,1
pound located in,1
riverside and good,1
customer rating shop,1
rating shop is,1
range is inexpensive,1
5 for five,1
five star japanese,1
japanese food why,1
food why not,1
not try located,1
top rated family,1
eatery has 1,1
5 a one-star,1
a one-star burger,1
one-star burger and,1
fry restaurant located,1
near the caters,1
to families on,1
families on a,1
riverside pub it,1
restaurant and cost,1
friendly called that,1
a family-friendly pump,1
family-friendly pump that,1
pump that is,1
that is serves,1
is low bar,1
low bar indian,1
bar indian food,1
price of over,1
type eatery called,1
experience try coffee,1
5 stars sells,1
stars sells indian,1
customer service has,1
service has italian,1
riverside costing more,1
area their price,1
's children-friendly is,1
affordable restaurant in,1
rated poorly and,1
poorly and is,1
by in there,1
nice 3 stars,1
that provides low-priced,1
centre although not,1
a low-priced venue,1
low-priced venue that,1
also get on,1
get on here,1
on here offers,1
here offers fast,1
moderate is kid,1
italian cuisine serving,1
cuisine serving british,1
but expensive it,1
expensive it can,1
end yet child-friendly,1
yet child-friendly option,1
riverside and comes,1
range food close,1
that offers classic,1
offers classic american,1
affordable price for,1
is children-friendly indian,1
children-friendly indian food,1
your budget located,1
dining experience customer,1
experience customer rating,1
£20 offers children,1
rating for moderate,1
moderate prices proves,1
prices proves indian,1
proves indian food,1
a italian styled,1
italian styled pub,1
styled pub that,1
pub that in,1
serves inexpensive english,1
city centre higher,1
centre higher price,1
range menu but,1
menu but has,1
to 25 near,1
25 near serves,1
20 with fast,1
adult restaurant located,1
is a riverfront,1
a riverfront family-friendly,1
riverfront family-friendly sushi,1
that is medium-priced,1
is medium-priced pub,1
medium-priced pub is,1
is child-friendly indian,1
child-friendly indian food,1
at the kids,1
kids friendly when,1
friendly when you,1
you 're thirsty,1
're thirsty for,1
thirsty for coffee,1
for coffee think,1
coffee think of,1
think of the,1
of the coffee,1
coffee shop when,1
shop when in,1
when in town,1
in town family,1
town family friendly,1
priced sushi meals,1
sushi meals one,1
meals one star,1
but is conveniently,1
conveniently located is,1
£20-25 for children,1
french food lies,1
food lies in,1
a popular eatery,1
popular eatery and,1
eatery and is,1
near offers an,1
english venue it,1
called does child,1
does child friendly,1
japanese food here,1
food here is,1
average a meal,1
pounds is expensive,1
is expensive fast,1
5 offers family-friendly,1
rating near its,1
near its pricey,1
its pricey and,1
boasting a 5,1
fast food between,1
food between £20-£25,1
between £20-£25 that,1
£20-£25 that is,1
an adult italian,1
a breakfast venue,1
traditional british fares,1
british fares at,1
fares at a,1
at a hefty,1
a hefty cost,1
hefty cost it,1
poor reviews with,1
reviews with an,1
given a top,1
to have less,1
have less price,1
range than £20,1
than £20 sited,1
£20 sited near,1
prices is high-priced,1
is english pub,1
cheap pub restaurant,1
centre offers moderate-priced,1
offers moderate-priced italian,1
moderate-priced italian food,1
high priced called,1
priced called nearby,1
called nearby is,1
eat can be,1
range in an,1
in an family-friendly,1
an family-friendly environment,1
friendly high cost,1
30 gbp is,1
price scale however,1
scale however customers,1
city that sells,1
city centre would,1
centre would be,1
would be not,1
be not family-friendly,1
not family-friendly 5,1
family-friendly a japanese,1
its cheap prices,1
range a three,1
and a convenient,1
convenient location in,1
area offers family,1
to has chinese,1
's near on,1
name it rates,1
pub named who,1
named who servers,1
who servers japanese,1
range is moderated,1
is moderated and,1
moderated and it,1
is a cheep,1
a cheep family,1
cheep family friendly,1
friendly a no,1
children policy pub,1
policy pub with,1
star rating sat,1
rating sat next,1
an italian non-family-friendly,1
italian non-family-friendly restaurant,1
non-family-friendly restaurant located,1
rating yes there,1
place name near,1
name near that,1
level budget pub,1
budget pub at,1
should try there,1
called serves pub,1
pub food and,1
a winery has,1
winery has a,1
5. they service,1
they service italian,1
rated the family-friendly,1
riverside offers high,1
and rated restaurant,1
located near sausage,1
near sausage eggs,1
sausage eggs and,1
beans at the,1
family friendly up,1
friendly up the,1
star sushi store,1
sushi store called,1
store called has,1
japanese pub which,1
area called where,1
eat at moderate,1
prices is providing,1
english breakfast and,1
breakfast and it,1
prices are mid-level,1
are mid-level the,1
mid-level the located,1
japanese food 's,1
food 's coffee,1
river although the,1
's sushi is,1
sushi is very,1
it 's barely,1
's barely worth,1
pounds provides moderately,1
and rated chinese,1
inexpensive coffee close,1
coffee close to,1
the river check,1
river check out,1
check out customers,1
out customers rated,1
customers rated highly,1
highly for its,1
riverside average prices,1
average prices 20-25,1
prices 20-25 pounds,1
per person italian,1
person italian restaurant,1
in luton is,1
a place which,1
rated pub price,1
welcome a family,1
food is offers,1
british menu at,1
affordable prices a,1
range and found,1
restaurant is incredibly,1
is incredibly family,1
incredibly family friendly,1
around riverside offering,1
riverside offering indian,1
with your entire,1
for £32 the,1
£32 the coffee,1
riverside a child,1
priced pub but,1
pub but what,1
but what pub,1
what pub has,1
high rating right,1
rating right we,1
right we 're,1
priced french café,1
range named near,1
named near and,1
£20-25 try it,1
its customers you,1
have a japanese,1
japanese meal riverside,1
meal riverside with,1
pounds is fast,1
friendly there prices,1
is kids-friendly they,1
is £20-25 they,1
rating on indian,1
but the rest,1
the rest of,1
rest of their,1
of their food,1
food is sub,1
is sub par,1
sub par there,1
par there is,1
pounds we can,1
we can go,1
serve families it,1
riverside offers an,1
setting near it,1
great and affordable,1
and affordable all-american,1
affordable all-american eatery,1
all-american eatery would,1
japanese pub where,1
dine is located,1
serves high-priced wine,1
high-priced wine and,1
food pub by,1
riverside the moderately,1
expensive near the,1
is a normal,1
a normal priced,1
normal priced japanese,1
shop called ratings,1
called ratings of,1
price and ratings,1
and ratings a,1
5. its located,1
is no t,1
no t recommended,1
t recommended to,1
a low-price low,1
low-price low quality,1
the the pricing,1
they have customer,1
have customer rating,1
are located neat,1
located neat located,1
neat located by,1
average rating features,1
rating features a,1
features a low,1
restaurant italian adult,1
city is hard,1
is hard to,1
to find is,1
find is just,1
is just what,1
just what you,1
30. it located,1
area is city,1
friendly bring all,1
bring all the,1
a coffee at,1
coffee at zizzis,1
at zizzis not,1
zizzis not too,1
not too cheap,1
too cheap not,1
cheap not too,1
too expensive 3,1
higher prices than,1
average but lower,1
lower ratings if,1
at the £20-25,1
a good pricey,1
good pricey english,1
shop called at,1
a restaurant set,1
restaurant set by,1
very affordable family-friendly,1
affordable family-friendly coffee,1
of the establishment,1
the establishment located,1
centre is 5,1
of 5 however,1
5 however it,1
for adults families,1
adults families with,1
not permitted has,1
permitted has a,1
near that disallows,1
that disallows minors,1
disallows minors and,1
minors and has,1
is near £20-25,1
near £20-25 kid,1
friendly but low-rated,1
japanese pub low,1
is offering highly,1
offering highly priced,1
to the on,1
friendly restaurant british,1
restaurant british food,1
british food no,1
kids near high,1
price ranges serving,1
ranges serving english,1
family-friendly with and,1
and average consumer,1
consumer rating a,1
price range averaging,1
range averaging less,1
pounds located by,1
food near price,1
offering pub style,1
can find indian,1
priced low in,1
average has italian,1
for prices greater,1
rating its priced,1
range a really,1
a really inexpensive,1
really inexpensive pub,1
pub nearby near,1
nearby near there,1
range from twenty,1
twenty-five dollars customers,1
dollars customers rate,1
it high there,1
a 4.5 out,1
4.5 out of,1
as being children,1
's named and,1
moderately priced café,1
café near by,1
by riverside customer,1
providing average customer,1
which is only,1
is only suitable,1
only suitable for,1
the higher prince,1
higher prince range,1
moderate prices public,1
prices public house,1
its customers adjacent,1
customers adjacent to,1
adjacent to glisson,1
to glisson road,1
glisson road is,1
