mr,ref,alignment
"name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Phoenix is a good restaurant near to Raja Indian Cuisine. its kids friendly,(0: name) (22: eattype) (41: near) (66: familyfriendly)
"name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Phoenix is a family friendly restaurant located near Raja Indian Cuisine.,(0: name) (17: familyfriendly) (33: eattype) (57: near)
"name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Phoenix is a restaurant providing Fast food deliveries in the low price range. It is located in Raja Indian Cuisine,(0: name) (17: eattype) (38: food) (101: near)
"name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Phoenix is a moderate priced Fast food restaurant in riverside near Raja Indian Cuisine. It is kid friendly.,(0: name) (17: pricerange) (33: food) (43: eattype) (57: area) (72: near) (99: familyfriendly)
"name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",There is a moderately cheap restaurant in Riverside near the Raja Indian Cuisine called The Phoenix.,(11: pricerange) (28: eattype) (42: area) (61: near) (88: name)
"name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Phoenix is a Fast food restaurant in riverside near Raja Indian Cuisine. It is kid friendly and moderate priced.,(0: name) (17: food) (27: eattype) (41: area) (56: near) (83: familyfriendly) (101: pricerange)
"name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","There is a mid-priced, family friendly restaurant, The Phoenix restaurant, that offers take-out or deliveries. It is located in city centre just east of Raja Indian Cuisine.",(23: familyfriendly) (40: eattype) (53: name) (157: near)
"name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","In riverside, near Raja Indian Cuisine is a moderately priced restaurant that serves fast food. It is also child friendly and is called The Phoenix.",(3: area) (20: near) (45: pricerange) (63: eattype) (86: food) (107: familyfriendly) (138: name)
"name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","The Phoenix is a moderately cheap restaurant located in the area of Riverside, near the Raja Indian Cuisine. Fast food is sold there and the staff are friendly.",(0: name) (17: pricerange) (34: eattype) (68: area) (89: near) (111: food)
"name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","The Phoenix, near Raja Indian Cuisine is a moderately priced fast food restaurant that is child friendly and is in riverside.",(0: name) (19: near) (44: pricerange) (62: food) (72: eattype) (90: familyfriendly) (116: area)
"name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",A restaurant named The Phoenix is located near Raja Indian Cuisine in riverside offering moderately priced fast food. It is kid friendly.,(2: eattype) (19: name) (47: near) (70: area) (89: pricerange) (107: food) (124: familyfriendly)
"name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","At the riverside, nearby Raja Indian Cuisine, there is a child friendly restaurant called The Phoenix which serves fast food, for which you can expect to pay more than £30.",(7: area) (26: near) (57: familyfriendly) (74: eattype) (92: name) (117: food) (161: pricerange)
"name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Phoenix is a Fast food restaurant near Raja Indian Cuisine in the riverside area. It is children friendly with a price range more than £30 per head.,(0: name) (17: food) (27: eattype) (43: near) (70: area) (92: familyfriendly) (130: pricerange)
"name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Phoenix is a children friendly restaurant that serves fast food and has a price range of more than L30.  It is by the riverside near Raja Indian Cuisine.,(0: name) (17: familyfriendly) (35: eattype) (58: food) (122: area) (137: near)
"name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",For a Fast food restaurant with a price range more than £30 there is The Phoenix in the riverside area near Raja Indian Cuisine. it is also children friendly.,(6: food) (16: eattype) (46: pricerange) (69: name) (88: area) (108: near) (140: familyfriendly)
"name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","The Phoenix restaurant is child friendly and  offers fast food priced on average at more than £30. It is located in the riverside area, near Raja Indian Cuisine.",(0: name) (12: eattype) (26: familyfriendly) (52: food) (83: pricerange) (120: area) (142: near)
"name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","The Phoenix is a children friendly restaurant near Raja Indian Cuisine.  It is by the riverside, serves fast food and has a price range of more than L30.",(0: name) (17: familyfriendly) (35: eattype) (51: near) (86: area) (105: food)
"name[The Phoenix], eatType[restaurant], food[French], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Phoenix is a kid friendly French restaurant on the riverside near Raja Indian Cuisine. Prices range £20-25.,(0: name) (17: familyfriendly) (30: food) (37: eattype) (55: area) (70: near) (105: pricerange)
"name[The Phoenix], eatType[restaurant], food[French], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Phoenix is a kid-friendly restaurant located near Raja Indian Cuisine in the riverside area. They serve French food in the £20-25 range.,(0: name) (17: familyfriendly) (30: eattype) (54: near) (81: area) (109: food) (128: pricerange)
"name[The Phoenix], eatType[restaurant], food[French], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","Located near Raja Indian Cuisine on the riverside, The Phoenix is a kid friendly French restaurant with prices £20-25.",(13: near) (40: area) (52: name) (68: familyfriendly) (82: food) (89: eattype) (112: pricerange)
"name[The Phoenix], eatType[restaurant], food[French], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",There is a family friendly French restaurant in riverside called The Phoenix. They are located near Raja Indian Cuisine and the price range is £20-25.,(11: familyfriendly) (27: food) (34: eattype) (48: area) (65: name) (101: near) (144: pricerange)
"name[The Phoenix], eatType[restaurant], food[French], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Phoenix is a restaurant located near Raja Indian Cuisine. They are kids friendly and cost between £20-£25. They serve French food.,(0: name) (17: eattype) (41: near) (71: familyfriendly) (124: food)
"name[The Phoenix], eatType[restaurant], food[French], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The French food serving restaurant known as The Phoenix is located near Raja Indian Cuisine on the the riverside. They cost between £20-£25.,(4: food) (24: eattype) (44: name) (72: near) (103: area)
"name[The Phoenix], eatType[restaurant], food[French], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Phoenix is a kid friendly restaurant with French food. Located in the riverside area near Raja Indian Cuisine. The price range is £20-25.,(0: name) (17: familyfriendly) (30: eattype) (46: food) (75: area) (95: near) (136: pricerange)
"name[The Phoenix], eatType[restaurant], food[French], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","The Phoenix restaurant is kid-friendly, with prices in the lower 20s. The serve French food on the riverside. It's located near Raja Indian Cuisine.",(0: name) (12: eattype) (26: familyfriendly) (82: food) (101: area) (132: near)
"name[The Phoenix], eatType[restaurant], food[French], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","The Phoenix, located in the riverside area near Raja Indian Cuisine, is a kid-friendly restaurant serving French food. Prices are in the £20-25 range.",(0: name) (29: area) (49: near) (74: familyfriendly) (89: eattype) (108: food) (140: pricerange)
"name[The Phoenix], eatType[restaurant], food[French], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Phoenix is a restaurant that serves French food located in the riverside area near Raja Indian Cuisine. It is kid friendly with a price range of £20-25,(0: name) (17: eattype) (40: food) (67: area) (87: near) (114: familyfriendly) (150: pricerange)
"name[The Phoenix], eatType[restaurant], food[French], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Phoenix is a family friendly restaurant in riverside near Raja Indian Cuisine. They serve French food and the price ranges from £20-25.,(0: name) (17: familyfriendly) (33: eattype) (47: area) (62: near) (95: food) (133: pricerange)
"name[The Phoenix], eatType[restaurant], food[French], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Phoenix is a cheap family friendly French pub and a restaurant located near Raja Indian Cuisine near riverside,(0: name) (17: pricerange) (23: familyfriendly) (39: food) (56: eattype) (80: near) (105: area)
"name[The Phoenix], eatType[restaurant], food[French], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",There is a cheap French restaurant named The Phoenix that is family friendly in riverside by Raja Indian Cuisine.,(11: pricerange) (17: food) (24: eattype) (41: name) (61: familyfriendly) (80: area) (93: near)
"name[The Phoenix], eatType[restaurant], food[French], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","The Phoenix restaurant is now serving French food at low prices in a family friendly atmosphere, located in the riverside area by Raja Indian Cuisine",(0: name) (12: eattype) (38: food) (53: pricerange) (69: familyfriendly) (113: area) (131: near)
"name[The Phoenix], eatType[restaurant], food[French], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Phoenix is a cheap French restaurant in riverside. it is family friendly and located by Raja Indian Cuisine.,(0: name) (17: pricerange) (23: food) (30: eattype) (44: area) (61: familyfriendly) (93: near)
"name[The Phoenix], eatType[restaurant], food[French], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","Located near Raja Indian Cuisine, lies a French restaurant called The Phoenix, known for being a cheap  family friendly pub in riverside",(13: near) (42: food) (49: eattype) (67: name) (99: pricerange) (103: familyfriendly) (128: area)
"name[The Phoenix], eatType[restaurant], food[French], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","Looking for French food at a low prices in a family friendly environment, check out The Phoenix restaurant in the riverside area by Raja Indian Cuisine",(12: food) (29: pricerange) (45: familyfriendly) (85: name) (97: eattype) (115: area) (133: near)
"name[The Phoenix], eatType[restaurant], food[French], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Phoenix is a high priced restaurant serving French cuisine situated on the riverside near Raja Indian Cuisine which is child friendly.,(0: name) (17: pricerange) (29: eattype) (48: food) (79: area) (94: near) (123: familyfriendly)
"name[The Phoenix], eatType[restaurant], food[French], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Phoenix is a restaurant near Raja Indian Cuisine in Riverside that serves expensive French food. It is children friendly.,(0: name) (17: eattype) (33: near) (56: area) (78: pricerange) (88: food) (107: familyfriendly)
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]",The Phoenix is a restaurant with Indian food ranging in 20-25 pounds.  This establishment has high customer ratings.  They are located in the centre of the city near Crowne Plaza Hotel and do not allow children.,(0: name) (17: eattype) (33: food) (93: customerrating) (142: area) (166: near) (200: familyfriendly)
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]","The Phoenix is a Indian serving restaurant with prices between £20 and £25. The customer rating is high with it being in the city centre near Crowne Plaza Hotel. Unfortunately, The Phoenix is not kid friendly.",(0: name) (17: food) (32: eattype) (99: customerrating) (126: area) (143: near) (196: familyfriendly)
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]",The Phoenix restaurant offers Indian food in the price range of £20-25. The customer rating is high and it is based in the city centre. Not kids friendly. Near Crowne Plaza Hotel,(0: name) (12: eattype) (30: food) (64: pricerange) (95: customerrating) (124: area) (140: familyfriendly) (163: near)
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]",The Phoenix  is an Indian food restaurant located in the City center. Price range is £20-25. Unfortunately not kid friendly. Near Crowne Plaza Hotel,(0: name) (18: food) (30: eattype) (61: area) (85: pricerange) (110: familyfriendly) (132: near)
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]",A centrally located restaurant called The Phoenix has Indian food in the price range of 20-25 pounds.  They are not family friendly.  They can be found near Crowne Plaza Hotel.,(20: eattype) (38: name) (54: food) (115: familyfriendly) (157: near)
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]","An Indian restaurant named The Phoenix is not child friendly, has a high customer rating, with prices ranging from £20 to £25, and is located in the city centre near Crowne Plaza Hotel.",(3: food) (10: eattype) (27: name) (46: familyfriendly) (68: customerrating) (152: area) (169: near)
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]","The Phoenix, a restaurant that serves Indian food, has a price range of £20-£25. The Phoenix has a high customer rating and it is situated in the city centre by Crowne Plaza Hotel. The Phoenix is not child friendly.",(0: name) (16: eattype) (39: food) (99: customerrating) (149: area) (164: near) (200: familyfriendly)
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]","The Phoenix is a restaurant located in the city centre near Crowne Plaza Hotel, that also serves Indian food. The Phoenix has a moderate pricing, high customer ratings, and is kid-friendly.",(0: name) (17: eattype) (43: area) (60: near) (98: food) (146: customerrating) (176: familyfriendly)
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]",The Phoenix is a restaurant providing Indian food in the £20-25 price range. It is located in the city centre. It is near Crowne Plaza Hotel. Its customer rating is high.,(0: name) (17: eattype) (38: food) (57: pricerange) (99: area) (124: near) (165: customerrating)
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]",The Phoenix is located near Crowne Plaza Hotel in the city center is a kid friendly  restaurant . The Phoenix serves Indian food in the mid-price range and has a high customer rating.,(0: name) (28: near) (59: area) (71: familyfriendly) (84: eattype) (116: food) (160: customerrating)
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]","The Phoenix is a restaurant serving Indian food in the mid-price range. it is in the city centre near Crowne Plaza Hotel, is kid friendly and has a high customer rating.",(0: name) (17: eattype) (36: food) (86: area) (103: near) (125: familyfriendly) (148: customerrating)
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]","In the City Centre near Crowne Plaza Hotel is a kid-friendly restaurant called the Phoenix, which serves Indian food at a moderate price. The Phoenix has high customer ratings.",(7: area) (24: near) (48: familyfriendly) (61: eattype) (79: name) (106: food) (154: customerrating)
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]",The Phoenix is a restaurant providing Indian food in the £20-25 price range. It is located in the city centre. It is near Crowne Plaza Hotel. Its customer rating is high.,(0: name) (17: eattype) (38: food) (57: pricerange) (99: area) (124: near) (165: customerrating)
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]",The Phoenix Indian restaurant is moderately priced and has high ratings.  This is not a kid friendly establishment but is located near Crowne Plaza Hotel in Riverside.,(0: name) (12: food) (19: eattype) (59: customerrating) (87: familyfriendly) (135: near) (157: area)
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]","There is a cool Indian restaurant down close to the riverside called The Phoenix. Customers love it, and its super easy to find from the Crowne Plaza Hotel parking lot. Kids and coffee don't mix, so be sure to not be that guy.",(16: food) (23: eattype) (52: area) (69: name) (92: customerrating) (139: near) (169: familyfriendly)
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]",Highly rated Indian restaurant The Phoenix is located on the riverside near Crowne Plaza Hotel. Not kid friendly but average price.,(0: customerrating) (13: food) (20: eattype) (31: name) (61: area) (76: near) (100: familyfriendly)
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]","The Phoenix is an amazing Indian restaurant near the riverside. You can expect to spend 20 pounds or so, and there really isn't much for the kiddos. If you have trouble finding it, it's near Crowne Plaza Hotel.",(0: name) (18: customerrating) (26: food) (33: eattype) (53: area) (197: near)
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]","The Phoenix provides an Indian restaurant experience at a reasonable price. Rated highly it can be found near Crowne Plaza Hotel on the riverside, but children are not welcome.",(0: name) (24: food) (31: eattype) (83: customerrating) (111: near) (137: area) (151: familyfriendly)
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]","Near Crowne Plaza Hotel in Riverside there is an Indian restaurant called The Phoenix. It is not kid friendly, has a price range of 20-25 and has a high customer rating.",(5: near) (27: area) (49: food) (56: eattype) (74: name) (97: familyfriendly) (148: customerrating)
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]","Near Crowne Plaza Hotel in Riverside there is an Indian restaurant called The Phoenix. It has a price range of 20-25, is not kid friendly, and has a high customer rating.",(5: near) (27: area) (49: food) (56: eattype) (74: name) (125: familyfriendly) (149: customerrating)
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]","The Phoenix is a restaurant that also serves Indian food priced between £20-25, located near Crowne Plaza Hotel on the riverside. It's customer rating is high, and the establishment is kids friendly.",(0: name) (17: eattype) (45: food) (72: pricerange) (94: near) (120: area) (155: customerrating) (186: familyfriendly)
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]",There is a restaurant called The Phoenix. Its is located near Crowne Plaza Hotel in the riverside area. It is child friendly and serves Indian food at a £20-25 price range.  It has a high customer rating.,(11: eattype) (29: name) (63: near) (89: area) (110: familyfriendly) (138: food) (155: pricerange) (182: customerrating)
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]","From around £20 for Indian food, The Phoenix restaurant can provide great service and a child friendly environment right by the riverside. They are located near Crowne Plaza Hotel.",(20: food) (34: name) (46: eattype) (69: customerrating) (88: familyfriendly) (129: area) (163: near)
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]","The Phoenix, located near Crowne Plaza Hotel on the riverside, is a restaurant that also serves Indian food. It is kids friendly and food is priced between £20-25.",(0: name) (27: near) (53: area) (70: eattype) (98: food) (115: familyfriendly) (159: pricerange)
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]","The Phoenix is a restaurant that serves Indian food for 20-25 euros, it is in the riverside area near a Crowne Plaza Hotel and is kid friendly with high customer rating.",(0: name) (17: eattype) (40: food) (83: area) (105: near) (130: familyfriendly) (148: customerrating)
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]","For a positive rated restaurant that also serves Indian food at a high price, the child friendly venue, The Phoenix, sits near Crowne Plaza Hotel on the riverside.",(21: eattype) (49: food) (66: customerrating) (82: familyfriendly) (106: name) (130: near) (156: area)
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]",The Phoenix is kid friendly a restaurant in the riverside area near a Crowne Plaza Hotel that serves Indian food for 20-25 euros and has a high customer rating.,(0: name) (15: familyfriendly) (30: eattype) (48: area) (70: near) (101: food) (139: customerrating)
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]","Cheap Indian food is served at The Phoenix, a restaurant with a 5 out of 5 rating. It is not family friendly and located near Crowne Plaza Hotel at the city centre.",(0: pricerange) (6: food) (31: name) (47: eattype) (65: customerrating) (93: familyfriendly) (128: near) (154: area)
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]",The Phoenix is and Indian style restaurant with highly rated food at a low price.  It can be found in the city centre by the Crowne Plaza Hotel and is not family friendly.,(0: name) (19: food) (32: eattype) (48: customerrating) (71: pricerange) (106: area) (125: near) (154: familyfriendly)
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]",The Phoenix is a restaurant providing Indian food in the cheap price range. It is located in the city centre. It is near Crowne Plaza Hotel. Its customer rating is 5 out of 5.,(0: name) (17: eattype) (38: food) (57: pricerange) (98: area) (123: near) (167: customerrating)
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]","The 5 out of 5 rated restaurant, The Phoenix, is located in the city centre near the Crowne Plaza Hotel. It is not family friendly, with cheap Indian food being served.",(4: customerrating) (21: eattype) (34: name) (66: area) (87: near) (115: familyfriendly) (141: pricerange) (147: food)
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]",The Phoenix is an excellent shop serving Indian fare at a low price with high ratings.  It is located in the city centre near Crowne Plaza Hotel and is not family friendly.,(0: name) (18: customerrating) (41: food) (58: pricerange) (109: area) (126: near) (155: familyfriendly)
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]","The Phoenix is a Indian restaurant that is not for the whole family. It has low prices, but high customer ratings. It is located in the city center near Crowne Plaza Hotel.",(0: name) (17: food) (24: eattype) (61: familyfriendly) (76: pricerange) (92: customerrating) (144: area) (156: near)
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]","The Phoenix restaurant serves cheap Indian food. With a customer rating of 5 out of 5, it is family friendly and located in the city centre near Crowne Plaza Hotel",(0: name) (12: eattype) (30: pricerange) (36: food) (76: customerrating) (93: familyfriendly) (130: area) (147: near)
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]",The Phoenix is a restaurant providing Indian food in the cheap price range. It is located in the city centre. It is near Crowne Plaza Hotel. Its customer rating is 5 out of 5.,(0: name) (17: eattype) (38: food) (57: pricerange) (98: area) (123: near) (167: customerrating)
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]","Located in the city centre near Crowne Plaza Hotel, The Phoenix restaurant serves cheap Indian food.  It has a customer rating of 5 out of 5.",(15: area) (32: near) (53: name) (65: eattype) (83: pricerange) (89: food) (131: customerrating)
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]",There is a cheap-priced restaurant The Phoenix located in the city centre near Crowne Plaza Hotel providing 5 out of 5 Indian food and is family friendly.,(11: pricerange) (24: eattype) (35: name) (62: area) (79: near) (108: customerrating) (119: food) (138: familyfriendly)
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]",The Phoenix is a cheap-priced  restaurant that provides Indian food and is located in the city centre near Crowne Plaza Hotel. It is family friendly and the customer rating is 5 out of 5.,(0: name) (17: pricerange) (30: eattype) (55: food) (89: area) (106: near) (132: familyfriendly) (176: customerrating)
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]",The Phoenix is a restaurant providing Indian food in the cheap price range. It is located in the city centre. It is near Crowne Plaza Hotel. Its customer rating is 5 out of 5.,(0: name) (17: eattype) (38: food) (57: pricerange) (98: area) (123: near) (167: customerrating)
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]","Located riverside near Crowne Plaza Hotel, and offering outstanding, cheap Indian food, The Phoenix is an adult friendly restaurant.",(8: area) (23: near) (71: pricerange) (77: food) (91: name) (106: familyfriendly) (124: eattype)
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]","The Phoenix, located riverside near Crowne Plaza Hotel is an adult friendly restaurant. It serves great, cheap Indian food.",(0: name) (22: area) (37: near) (61: familyfriendly) (77: eattype) (100: customerrating) (108: pricerange) (114: food)
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Express by Holiday Inn]",The Phoenix is a cheap restaurant. It has a customer rating of 5 out of 5. It is near Express by Holiday Inn.,(0: name) (17: pricerange) (23: eattype) (64: customerrating) (87: near)
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Express by Holiday Inn]",The Phoenix is in riverside near Express by Holiday Inn. It has cheap prices. It has high customer ratings.,(0: name) (18: area) (33: near) (65: pricerange) (85: customerrating)
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Express by Holiday Inn]","The Phoenix, is in the riverside near Express by Holiday Inn, it is an adult directed restaurant and Indian restaurant that is affordable an received a 5 out of 5 rating.",(0: name) (24: area) (39: near) (71: familyfriendly) (88: eattype) (103: food) (129: pricerange) (154: customerrating)
